Replication,Seed,Period,Generated Passengers,Completed Passengers,Mean Completed Wait,Median Completed Wait,P95 Completed Wait,Maximum Completed Wait,Peak Queue,Peak Queue Stop,Peak Queue Time,Period-End Queue,Final Backlog,Mean Bus Occupancy,Maximum Bus Occupancy,Passenger Conservation
23,1147627710,Morning,500,496,3.6241769612696393,3.2474328357535853,8.852456519957258,16.53569459350655,16,10,403.76513992221464,5,4,15.87906976744186,30,True
23,1147627710,Evening,276,276,3.7286538207268913,3.3526602654569047,7.56091853425869,18.810069642824487,8,10,919.0888430232774,0,0,12.277272727272727,22,True
24,2483435858,Morning,500,498,3.6080853098549817,2.973167812528118,8.996752662272257,16.291867265424116,15,10,413.0769325731561,4,2,15.925581395348837,28,True
24,2483435858,Evening,276,271,3.23170805219165,2.7083097942181666,7.088269934890604,20.11442831462284,8,6,942.2738733196251,5,5,12.177272727272728,25,True
25,3210783261,Morning,500,496,3.479417624740768,2.857254494626062,9.065875801056762,15.94356954593195,15,10,377.836661750398,5,4,15.87906976744186,28,True
25,3210783261,Evening,276,273,3.5019596540871367,3.103720799723078,7.640255898685064,18.93032482136948,8,10,920.0666538951292,3,3,12.209090909090909,23,True
26,1843101495,Morning,500,498,3.7000688018830092,3.1520251327765436,9.009409642787869,16.80396156562199,17,10,430.3516882695547,6,2,15.925581395348837,29,True
26,1843101495,Evening,276,274,3.451687077443252,3.283647835488466,7.72839551368567,19.79889873884258,12,10,918.3938680593884,2,2,12.236363636363636,22,True
27,1807795135,Morning,500,499,3.7785978551255477,3.078905701585313,8.92202294145296,16.466749752430644,18,10,430.79216967171163,1,1,15.948837209302326,30,True
27,1807795135,Evening,276,274,3.8431611642357018,3.4220820534961263,8.152265847660242,18.97147852108435,9,6,905.9058537891827,2,2,12.245454545454546,25,True
28,650419918,Morning,500,497,3.7138600933960473,3.1130147454832695,9.310773136204897,17.879187273628077,17,10,524.5350693185627,5,3,15.902325581395349,29,True
28,650419918,Evening,276,269,3.7344324820821275,3.2001867594320856,7.3859322632623385,18.905461253973954,10,6,921.0103938094335,7,7,12.14090909090909,26,True
29,982532350,Morning,500,498,3.588905030613984,2.9031640588901837,8.923978574355566,15.690792245157411,16,10,594.7249768889227,3,2,15.925581395348837,28,True
29,982532350,Evening,276,273,3.9330585206972493,3.5295451431022684,8.672001350508694,19.776962406886923,11,10,916.3532556292231,3,3,12.213636363636363,24,True
30,1193431242,Morning,500,491,3.3502928535709793,2.8261379026841382,8.948752813086315,14.472849052453967,18,10,530.7060340457286,10,9,15.762790697674419,30,True
30,1193431242,Evening,276,272,3.4419512041720877,3.0739752718986324,7.414593412598287,21.3040285008085,10,10,921.9152708889711,4,4,12.213636363636363,25,True
