Date,Hour,Route ID,Direction,Stop ID,Stop Sequence,Boardings,Alightings,Trips,Stop Name,Period
2025-01-06,2025-01-06 06:00:00,M66,E,403497,10,50,11,4,E 68 ST/LEXINGTON AV,Morning
2025-01-06,2025-01-06 07:00:00,M66,E,403492,6,28,0,7,W 65 ST/CENTRAL PARK WEST,Morning
2025-01-06,2025-01-06 07:00:00,M66,E,403494,7,3,32,6,E 65 ST/5 AV,Morning
2025-01-06,2025-01-06 07:00:00,M66,E,404994,8,2,13,7,MADISON AV/E 65 ST,Morning
2025-01-06,2025-01-06 07:00:00,M66,E,403495,9,4,8,5,MADISON AV/E 67 ST,Morning
2025-01-06,2025-01-06 07:00:00,M66,E,403497,10,79,15,7,E 68 ST/LEXINGTON AV,Morning
2025-01-06,2025-01-06 08:00:00,M66,E,403492,6,59,6,10,W 65 ST/CENTRAL PARK WEST,Morning
2025-01-06,2025-01-06 08:00:00,M66,E,403494,7,10,42,9,E 65 ST/5 AV,Morning
2025-01-06,2025-01-06 08:00:00,M66,E,404994,8,7,40,11,MADISON AV/E 65 ST,Morning
2025-01-06,2025-01-06 08:00:00,M66,E,403495,9,9,31,9,MADISON AV/E 67 ST,Morning
2025-01-06,2025-01-06 08:00:00,M66,E,403497,10,131,46,12,E 68 ST/LEXINGTON AV,Morning
2025-01-06,2025-01-06 09:00:00,M66,E,403492,6,12,1,5,W 65 ST/CENTRAL PARK WEST,Morning
2025-01-06,2025-01-06 09:00:00,M66,E,403494,7,5,18,5,E 65 ST/5 AV,Morning
2025-01-06,2025-01-06 09:00:00,M66,E,404994,8,4,13,5,MADISON AV/E 65 ST,Morning
2025-01-06,2025-01-06 09:00:00,M66,E,403495,9,4,16,5,MADISON AV/E 67 ST,Morning
2025-01-06,2025-01-06 09:00:00,M66,E,403497,10,66,26,6,E 68 ST/LEXINGTON AV,Morning
2025-01-06,2025-01-06 10:00:00,M66,E,403492,6,10,6,4,W 65 ST/CENTRAL PARK WEST,Morning
2025-01-06,2025-01-06 10:00:00,M66,E,403494,7,3,18,5,E 65 ST/5 AV,Morning
2025-01-06,2025-01-06 10:00:00,M66,E,404994,8,3,17,4,MADISON AV/E 65 ST,Morning
2025-01-06,2025-01-06 10:00:00,M66,E,403495,9,4,4,4,MADISON AV/E 67 ST,Morning
2025-01-06,2025-01-06 10:00:00,M66,E,403497,10,22,14,4,E 68 ST/LEXINGTON AV,Morning
